ID,DOI,TITLE,PUBLICATION YEAR,QUALITY CRITERIA,INCLUSION DECISION,Challenges,RQ1,RQ2,RQ3,Motivo de reprovação:
18,10.1145/3218585.3218598,A survey on accessibility awareness of Brazilian web developers,2018,"CQ1, CQ2, CQ3",Included,,"* The accessibility evaluation mechanisms most commonly used by developers are not truly accessibility evaluation mechanisms, but rather compliance with Web standards.

* Lack of training

* Addresses the general lack of awareness among developers regarding digital accessibility in several sections

* Most developers reported that they have never heard of Web Accessibility Guidelines;
","* Most developers neglect accessibility in their projects (note: particularly those with basic and intermediate knowledge);

* Companies do not consider including accessibility requirements in their projects;

* Evidence suggests that developers believe they are responsible for implementing accessibility requirements.
",,NOT APPLICABLE
25,10.1145/1368044.1368064,A survey on the accessibility awareness of people involved in web development projects in Brazil,2008,"CQ1, CQ2, CQ3",Included,,"* Lack of awareness about laws/decrees: approximately 73% of developers are not fully aware of Law No. 5,296/2004

* Lack of awareness about guidelines: 39.15% are not familiar with WCAG, and 30.18% have only basic knowledge of it

* Lack of training: 56.38% of participants have never received any training on accessibility

* Suggestions to improve web accessibility: disseminate knowledge about accessibility legislation and increase awareness on this topic by providing accessibility training within organizations
","* Regarding the consideration of accessibility in the projects they participate in: only 19.9% fully consider accessibility in their projects; 44.37% consider it partially, and 35.4% do not consider it at all

* When participants consider accessibility in their projects, personal motivation is the main contributing factor. In contrast, company or client motivation has the lowest contribution

* Main reasons for not considering accessibility in their projects: lack of formal requirements from the organization (51.33%) and lack of requirements from clients (49.08%)
","* Use of accessibility evaluation tools: 47.7% stated that they do not use any accessibility evaluation tools in their projects. Among those who do use some tool, they are not exactly accessibility evaluation methods (HTML and CSS validation)
",NOT APPLICABLE
15,10.1145/3357155.3358448,A survey on the awareness of brazilian web development community about cognitive accessibility,2019,"CQ1, CQ2, CQ3",Included,"* For those who do not consider people with cognitive disabilities in their projects, the main challenges and barriers: 75.3% cited a lack of knowledge about cognitive disabilities","* Regarding knowledge of accessibility guidelines: 33% of respondents stated that they are not familiar with WCAG; 13% indicated that they have never used it (i.e., they know it but have never used it)

* Regarding other complementary materials that support the implementation of accessibility requirements: scientific studies and technical blogs are unknown to only 8.6%

* For those who consider people with cognitive disabilities in their projects, which main cognitive disabilities they consider: 62.5% consider people with intellectual disabilities; ASD and ADHD both reached 56.3% among respondents","* Regarding the consideration of people with cognitive disabilities in their projects: 54.3% of respondents stated that they do not consider these individuals in their projects, and 30.5% indicated that they consider them partially

* For those who consider individuals with cognitive disabilities, their motivations are: 62.5% indicated that they understand these individuals are part of their audience; 62.5% stated that they consider this group to allow them to benefit from their product or service; 56.3% reported personal motivations

* For those who do not consider people with cognitive disabilities in their projects, the main challenges and barriers are: 53.9% stated that this group is not considered in their projects by the organization

* Respondents have difficulty understanding that people with cognitive disabilities are also part of their target audience

* For those who do not consider accessibility in their projects, what could motivate them to consider this group in future projects: 79.8% stated that guidelines could motivate them; 67.4% said that increasing knowledge about cognitive disabilities could also help in this process
","* For those who consider people with cognitive disabilities in their projects, which materials they use to ensure accessibility for this group: 75% use WCAG as support, while 50% use technical blogs and scientific studies",NOT APPLICABLE
8,10.1145/3419249.3420119,Perspectives and Practices of Digital Accessibility: A Survey of User Experience Professionals in Nordic Countries,2020,"CQ1, CQ2, CQ3",Included,"* Main challenges: time constraints, lack of training, and cost. These are associated with a lack of management support, as management is responsible for budget, workload allocation, and training
","* It is worth noting that participants had greater experience in accessibility and are leading UX professionals in their countries

* Regarding their expertise in digital accessibility, most consider themselves at an intermediate level, while a small portion consider themselves experts

* Most participants were aware of accessibility legislation and follow it

* It was observed that knowledge of digital accessibility is higher among UX professionals and designers, and lower among managers and developers

* Education and training are essential for the adoption of accessibility. Lack of training was one of the main barriers to creating accessible systems
","* The main reason organizations include accessibility in their projects is legal obligation

* Participants stated that professionals with expertise in interface design, usability design, and front-end development should be responsible for digital accessibility practices. Management roles were also considered responsible for making systems accessible, while back-end developers were the least cited group for this responsibility

* In addition to legal obligation, other common motivations for including accessibility were ethical principles and personal motivations
","* The most commonly used accessibility evaluation tools were HTML validation and CSS validation; however, they do not require users to test the system’s accessibility features",NOT APPLICABLE
10,10.1145/3702038.3702108,"Strategic Insights into Integrating Accessibility in Software Development: Motivations, Barriers, Commitments, and Business Value",2024,"CQ1, CQ2, CQ3",Included,,"* Interviewees highlight that although policies are aligned and designers and developers are committed to implementing accessibility requirements, development is complex and inherently prone to errors
","* The study highlights that demands initiated and supported by tactical and strategic layers of organizations are essential to enable the development of accessible software

* It is further stated that, while the commitment of all professionals involved in the organizational process is fundamental, support from strategic layers leads to plans, policies, guidelines, and investments that ensure organizations achieve their goals
","* One of the main measures adopted is the inclusion of accessibility criteria in the “Definition of Done” (DoD), ensuring that all stakeholders understand, implement, and validate accessibility requirements throughout development, rather than only at the end

* Many participants mentioned that organizations enforce policies requiring new requirements and artifacts to be validated by the accessibility team. Additionally, organizations also impose mandatory accessibility testing to ensure these requirements are properly met
",NOT APPLICABLE
19,10.1145/3477314.3507041,Studying industry practices of accessibility requirements in agile development,2022,"CQ1, CQ2, CQ3",Included,"* The main challenge mentioned when trying to specify accessibility requirements was the lack of experts in the team, lack of team knowledge, and lack of tools

* For those who rely on guidelines in the process, some find the language too complex for non-experts","* Level of accessibility knowledge: 38.5% basic knowledge; 30.8% intermediate; 15% no experience

* Regarding training provided by companies on accessibility: 53.8% rarely received training; 38.5% have never received any training

* 53.8% have never used standards or guidelines as a resource to support the specification, development, and testing of accessibility

* Some companies consider accessibility to comply with local legislation. In the context of the study, 53.8% of companies are not familiar with these obligations; 30.8% are slightly familiar, and 15.4% are moderately familiar

* Most participants are not very familiar with assistive technologies (61.6%)

* Lack of training (30.8%) was also mentioned as a factor contributing to the lack of prioritization of accessibility requirements
","* Legal obligation (30.8%) was cited as the main motivation for companies to implement accessibility requirements

* Regarding the prioritization of accessibility requirements: 69.2% stated that fewer than five projects they participated in prioritized accessibility requirements; 30.8% have never treated accessibility as a priority in their projects

* In general, participants reported that the lack of enforcement by clients (61.5%) is the main factor for not considering these requirements (a common aspect in agile development)
","* Most commonly used techniques for specifying accessibility requirements: acceptance criteria (5/13) and user stories (3/13)

* Regarding accessibility evaluation methods: 81.4% of responses indicated little or no familiarity with these methods

* Among those who reported being familiar, the most used approaches are automated tools (38.5%) and manual reviews of accessibility guidelines (38.5%), followed by testing with people with disabilities (30.8%), expert evaluation (23.1%), and HTML and CSS validation (23.1%)

* Models, checklists, and catalogs could support agile teams in specifying accessibility requirements
",NOT APPLICABLE
16,10.1145/3334480.3383103,Why Software is Not Accessible: Technology Professionals' Perspectives and Challenges,2020,"CQ1, CQ2, CQ3",Included,"* They mention the difficulty of retroactively evaluating accessibility issues during development cycles, especially in large-scale projects","* It states that, due to the lack of formal education, professionals had limited knowledge about accessibility, compliance requirements, or guidelines. Only 35% of respondents learned something substantial about accessibility during their formal education

* Regarding familiarity with accessibility guidelines and U.S. accessibility laws (ADA): 44% are slightly familiar and 63% are not familiar at all

* They mention difficulties in interpreting guidelines and express a desire for guidelines to provide demonstrations on how to implement accessible components, rather than only describing them
","* Leadership, especially in smaller companies, sometimes focuses on economic goals, so accessibility is considered an additional cost in terms of time and resources

* Developers tend to incorporate company values, which do not always include accessibility as a priority. However, if leadership positions valued accessibility as part of their objectives, participants would be more likely to have access to resources to include accessibility

* Some respondents stated that accessibility was neglected amid frequent task switching, within a culture of tight deadlines driven by the constant pursuit of industry trends

* Regarding the tools or resources professionals use to create accessible solutions: in the survey, accessibility is, in most cases, not considered throughout the development lifecycle
","* Regarding the tools or resources professionals use to create accessible solutions: in the interviews, they indicated that the high pressure of development cycles demands simple and easy-to-use tools

* Regarding tools: participants stated that there is a lack of tools and resources, especially examples of how to create accessible components

* Some participants mentioned preferring better tools that can identify accessibility violations and provide quick solutions
",NOT APPLICABLE
28,10.1145/1805986.1806029,Accessibility challenges and tool features: an IBM Web developer perspective,2010,"CQ1, CQ2, CQ3",Included,"* Major difficulties reported when developing accessible solutions: design, testing, and finding technical alternatives to overcome limitations.

* Although most interviewed developers have access to information and training, testing and finding alternatives to overcome limitations require significant time, and lack of time is a limiting factor in making systems accessible;

* Lack of time is the most common and limiting reason for creating an accessible solution.

* Applying accessibility retroactively is difficult and time-consuming.
",,"
","* Survey respondents, regardless of their level of accessibility expertise, rely on tools to perform automatable checks, along with explanations of the detected errors. The ability to precisely locate errors was also considered important by participants. They noted that in rich web applications, where page elements can be dynamically inserted, reliably identifying the relevant source code can be particularly difficult;

* Comments suggested that explanations provided by current tools are not sufficiently detailed;

* Participants highlighted the need for tools that improve developers’ understanding of accessibility: tools that explain the problem, clarify why a code fragment is problematic, provide solution examples, and simulate the experience of users with disabilities;

* The study confirms that many developers feel uncomfortable using assistive technologies during testing;

* The study concluded that easy-to-use tools capable of locating and diagnosing issues related to assistive technologies—or even consistently predicting how such technologies will behave—would be highly beneficial for developers;

* Integrating multiple tools into a single solution was also suggested.
",NOT APPLICABLE
42,10.1109/CHASE52884.2021.00028,Mobile Accessibility Guidelines Adoption under the Perspective of Developers and Designers,2021,"CQ1, CQ3",Included,,"* Regarding training in the context of accessibility, developers and designers, respectively: never had any (24% vs. 27%); at least once (45% vs. 27%); and many times (31% vs. 46%);

* Regarding knowledge of WCAG guidelines, developers and designers, respectively: unaware (64% vs. 27%); aware but have never read them (15% vs. 23%); and have read them at least partially (21% vs. 50%);

* According to developers, the main reasons why the guidelines are not well known are: lack of industry interest in accessibility, lack of accessibility in academic curricula, and lack of studies on accessibility;

* Lack of awareness or knowledge about accessibility leads to insecurity within teams regarding the topic;

* Paths for improvement: training and greater familiarity with users’ needs;

* Another path for improvement: empathy and recognizing the diversity of people, each with their own specific needs and characteristics.
","* Regarding the reasons why guidelines are not applied in projects: client priorities, project time constraints, and the priorities of the company developing the system;

* Obstacles: lack of prioritization by stakeholders and limited awareness among decision-makers, such as clients.
",,NOT APPLICABLE
51,10.1109/CoG57401.2023.10333178,A Qualitative Investigation of Real World Accessible Design Experiences within a Large Scale Commercial Game Development Studio,2023,"CQ1, CQ3",Included,,"* Developers reported that although their knowledge of accessibility is increasing, it is still limited. They also stated that this limited knowledge is largely derived from feedback provided by consultants;
","* Developers consider accessibility important and are motivated to create accessible games from different perspectives, promoting equal experiences and recognizing that accessibility improves the game for everyone;

* Resource allocation, scheduling, and workflows depend on how much the company prioritizes accessibility;

* Developers find it difficult to prioritize accessibility requirements and struggle to understand the cost–benefit of these features;

* Developers feel it is important to have accessibility goals, but these are usually unclear and appear to be implicit within the organization;

* External factors can impact accessibility goals within the company, such as legislation and collaboration with external contractors;

* Developers believe it is essential to have someone leading accessibility efforts in companies, but responsibility for accessibility is often unclear across organizational levels;

* From the developer’s perspective, the critical resource for implementing accessibility requirements is time;

* Developers recognize that without prioritization, it is challenging to allocate time and engage in making games accessible;

* Developers indicated that accessibility is often seen as the responsibility of the user interface team;

* There is difficulty engaging in accessibility-related activities due to competing project tasks;

* Developers stated that it is very valuable for company leadership to take the lead in promoting the inclusion of accessibility requirements.
","* Comparative accessibility was considered the best source of knowledge in the interviews, that is, gaining accessibility insights by analyzing other games;

* Feedback from accessibility specialists was another source of knowledge;

* Developers value feedback from players with disabilities regarding their gaming experience, but such feedback is scarce;

* Developers feel it is important to have accessibility goals, standards, or models to follow, as this would make developing accessible games easier;

* Developers feel they need more feedback than they usually receive.
",NOT APPLICABLE
